bigram,count,probability
ур,828,0.000515
ья,825,0.000514
бя,821,0.000511
уб,811,0.000505
ды,810,0.000504
шь,795,0.000495
пу,789,0.000491
су,788,0.000491
ир,787,0.000490
ке,783,0.000487
оя,773,0.000481
ыб,766,0.000477
зя,766,0.000477
йс,763,0.000475
чн,760,0.000473
тк,752,0.000468
ца,744,0.000463
пл,714,0.000445
рт,713,0.000444
сч,675,0.000420
ыш,672,0.000418
ьи,664,0.000413
ьш,660,0.000411
ею,658,0.000410
иг,644,0.000401
дя,641,0.000399
нт,637,0.000397
ью,628,0.000391
иш,625,0.000389
_ф,613,0.000382
б_,612,0.000381
лж,611,0.000380
мя,611,0.000380
иб,601,0.000374
кт,587,0.000365
шн,583,0.000363
зы,571,0.000355
ея,561,0.000349
рг,561,0.000349
шк,553,0.000344
рд,553,0.000344
зо,545,0.000339
пя,542,0.000337
ющ,526,0.000327
ын,525,0.000327
сы,521,0.000324
ох,520,0.000324
сд,520,0.000324
ге,516,0.000321
вд,510,0.000318
кл,501,0.000312
дс,498,0.000310
иж,497,0.000309
ям,495,0.000308
чк,491,0.000306
яз,482,0.000300
бн,480,0.000299
зи,467,0.000291
яж,466,0.000290
рв,466,0.000290
рж,465,0.000289
лн,463,0.000288
ух,459,0.000286
ща,459,0.000286
фи,458,0.000285
яг,456,0.000284
ж_,452,0.000281
ыр,451,0.000281
шу,451,0.000281
шо,447,0.000278
лк,447,0.000278
тч,445,0.000277
уз,444,0.000276
цо,444,0.000276
тл,413,0.000257
нч,411,0.000256
зм,411,0.000256
зу,408,0.000254
лл,404,0.000252
вя,401,0.000250
йн,401,0.000250
яв,399,0.000248
бк,398,0.000248
нк,395,0.000246
уе,395,0.000246
пы,392,0.000244
жу,387,0.000241
ют,386,0.000240
аф,381,0.000237
_ц,378,0.000235
йт,377,0.000235
нц,376,0.000234
юд,374,0.000233
ию,365,0.000227
бщ,355,0.000221
вт,352,0.000219
зе,348,0.000217
рш,341,0.000212
ьм,338,0.000210
рб,338,0.000210
йд,335,0.000209
дк,330,0.000205
ащ,330,0.000205
цу,327,0.000204
вп,327,0.000204
ун,326,0.000203
ящ,312,0.000194
вь,305,0.000190
дт,303,0.000189
зр,298,0.000186
ущ,298,0.000186
оо,295,0.000184
зл,288,0.000179
ео,286,0.000178
дц,283,0.000176
ях,282,0.000176
рс,282,0.000176
зь,280,0.000174
ц_,275,0.000171
гн,272,0.000169
ыч,270,0.000168
чш,268,0.000167
ьз,267,0.000166
юс,261,0.000162
кв,258,0.000161
чь,257,0.000160
ню,255,0.000159
зб,255,0.000159
нщ,249,0.000155
ык,247,0.000154
ец,243,0.000151
вм,236,0.000147
ищ,235,0.000146
вк,233,0.000145
цы,228,0.000142
ощ,227,0.000141
фр,221,0.000138
ху,221,0.000138
ыд,219,0.000136
ци,215,0.000134
яя,213,0.000133
ип,208,0.000129
сх,204,0.000127
бь,201,0.000125
сю,195,0.000121
яч,194,0.000121
лч,194,0.000121
уй,193,0.000120
аи,192,0.000120
оф,192,0.000120
лг,191,0.000119
яй,191,0.000119
гк,191,0.000119
тд,189,0.000118
уя,187,0.000116
ып,184,0.000115
рм,178,0.000111
ац,178,0.000111
рю,177,0.000110
ср,175,0.000109
зж,172,0.000107
фе,171,0.000106
_щ,167,0.000104
дш,166,0.000103
як,166,0.000103
мс,166,0.000103
цк,163,0.000101
хн,159,0.000099
хи,156,0.000097
ьц,156,0.000097
рх,155,0.000096
жс,155,0.000096
яю,154,0.000096
еи,154,0.000096
хв,152,0.000095
ыг,146,0.000091
еу,145,0.000090
жк,145,0.000090
мл,144,0.000090
бв,140,0.000087
хл,139,0.000087
щу,138,0.000086
зк,137,0.000085
йл,137,0.000085
шв,136,0.000085
ьб,131,0.000082
вч,127,0.000079
оц,127,0.000079
нр,126,0.000078
иа,125,0.000078
фо,125,0.000078
ио,124,0.000077
тт,122,0.000076
йч,120,0.000075
нг,119,0.000074
мр,118,0.000073
бс,115,0.000072
ьт,115,0.000072
дм,112,0.000070
йк,105,0.000065
яе,105,0.000065
